taiwan_trading_date,return_target,return_target_type,taiwan_target_type,taiwan_sector,candidate_count,positive_count,negative_count,neutral_count,unavailable_count,mean_impact_score,sum_impact_score,max_abs_impact_score,mean_combined_confidence,final_directional_label,return_data_available,prev_close_to_open_return,open_to_close_return,close_to_close_return,next_close_to_close_return,duplicate_key_count,panel_notes,is_potentially_positive,is_potentially_negative,is_neutral,us_control_date,control_data_notes,qqq_return,soxx_return,smh_return,nvda_return,amd_return,tsm_adr_return
2026-02-04,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.520000,neutral,True,0.002201,0.003145,0.003774,0.002831,0,,0,0,1,2026-02-03,,0.004500,0.006500,0.005400,0.009000,0.007400,0.004200
2026-02-05,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.135000,0.135000,0.135000,0.480000,potentially_positive,True,0.004553,0.006505,0.007806,0.005854,0,,1,0,0,2026-02-04,,0.003000,0.004500,0.003600,0.006000,0.005100,0.003300
2026-02-05,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.490000,potentially_negative,True,-0.000301,-0.000430,-0.000516,-0.000387,0,,0,1,0,2026-02-04,,0.003500,0.005200,0.004200,0.007000,0.005900,0.003700
2026-02-05,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.500000,neutral,True,0.002047,0.002925,0.003510,0.002632,0,,0,0,1,2026-02-04,,0.004000,0.005900,0.004800,0.008000,0.006700,0.004100
2026-02-05,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.135000,0.135000,0.135000,0.510000,potentially_positive,True,0.005047,0.007210,0.008652,0.006489,0,,1,0,0,2026-02-04,,0.004500,0.006600,0.005400,0.009000,0.007500,0.004500
2026-02-05,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.520000,potentially_negative,True,-0.000059,-0.000085,-0.000102,-0.000076,0,,0,1,0,2026-02-04,,0.005000,0.007300,0.006000,0.010000,0.008300,0.004900
2026-02-05,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.450000,neutral,True,0.002541,0.003630,0.004356,0.003267,0,,0,0,1,2026-02-04,,0.005500,0.008000,0.006600,0.011000,0.009100,0.005300
2026-02-06,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.140000,0.140000,0.140000,0.490000,potentially_positive,True,0.004998,0.007140,0.008568,0.006426,0,,1,0,0,2026-02-05,,0.004000,0.006000,0.004800,0.008000,0.006800,0.004400
2026-02-06,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.500000,potentially_negative,True,0.000039,0.000055,0.000066,0.000050,0,,0,1,0,2026-02-05,,0.004500,0.006700,0.005400,0.009000,0.007600,0.004800
2026-02-06,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.510000,neutral,True,0.002387,0.003410,0.004092,0.003069,0,,0,0,1,2026-02-05,,0.005000,0.007400,0.006000,0.010000,0.008400,0.005200
2026-02-06,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.140000,0.140000,0.140000,0.520000,potentially_positive,True,0.005491,0.007845,0.009414,0.007060,0,,1,0,0,2026-02-05,,0.005500,0.008100,0.006600,0.011000,0.009200,0.005600
2026-02-06,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.450000,potentially_negative,True,0.000280,0.000400,0.000480,0.000360,0,,0,1,0,2026-02-05,,0.006000,0.008800,0.007200,0.012000,0.010000,0.006000
2026-02-06,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.460000,neutral,True,0.002880,0.004115,0.004938,0.003703,0,,0,0,1,2026-02-05,,0.006500,0.009500,0.007800,0.013000,0.010800,0.006400
2026-02-07,2330.TW,ticker,ticker,Semiconductor Foundry,1,1,0,0,0,0.145000,0.145000,0.145000,0.500000,potentially_positive,True,0.005442,0.007775,0.009330,0.006998,0,,1,0,0,2026-02-06,,0.005000,0.007500,0.006000,0.010000,0.008500,0.005500
2026-02-07,2454.TW,ticker,ticker,Semiconductor Design,1,0,1,0,0,-0.104000,-0.104000,0.104000,0.510000,potentially_negative,True,0.000378,0.000540,0.000648,0.000486,0,,0,1,0,2026-02-06,,0.005500,0.008200,0.006600,0.011000,0.009300,0.005900
2026-02-07,2382.TW,ticker,ticker,AI Server and ODM,1,0,0,1,0,0.000000,0.000000,0.000000,0.520000,neutral,True,0.002726,0.003895,0.004674,0.003505,0,,0,0,1,2026-02-06,,0.006000,0.008900,0.007200,0.012000,0.010100,0.006300
2026-02-07,6669.TW,ticker,ticker,AI Server and Cloud Infrastructure,1,1,0,0,0,0.145000,0.145000,0.145000,0.450000,potentially_positive,True,0.005936,0.008480,0.010176,0.007632,0,,1,0,0,2026-02-06,,0.006500,0.009600,0.007800,0.013000,0.010900,0.006700
2026-02-07,2317.TW,ticker,ticker,AI Server Assembly,1,0,1,0,0,-0.116000,-0.116000,0.116000,0.460000,potentially_negative,True,0.000620,0.000885,0.001062,0.000797,0,,0,1,0,2026-02-06,,0.007000,0.010300,0.008400,0.014000,0.011700,0.007100
2026-02-07,3711.TW,ticker,ticker,Semiconductor Packaging and Testing,1,0,0,1,0,0.000000,0.000000,0.000000,0.470000,neutral,True,0.003220,0.004600,0.005520,0.004140,0,,0,0,1,2026-02-06,,0.007500,0.011000,0.009000,0.015000,0.012500,0.007500
